Department,Course Number,Course Title,Course Description,Terms,Units,Instructors
GSB,OB 699,Doctoral Practicum in Research,Doctoral Practicum in Research,"Aut, Win, Spr, Sum",1,"; Atwell, J. (PI); Barnett, W. (PI); Berg, J. (PI); Burgelman, R. (PI); Carroll, G. (PI); Clement, J. (PI); Eberhardt, J. (PI); Flynn, F. (PI); Gelfand, M. (PI); Goldberg, A. (PI); Gruenfeld, D. (PI); Guilbeault, D. (PI); Halevy, N. (PI); Kosinski, M. (PI); Lowery, B. (PI); Martin, A. (PI); Melnikoff, D. (PI); Miller, D. (PI); Miton, H. (PI); Monin, B. (PI); O'Reilly, C. (PI); Pfeffer, J. (PI); Rao, H. (PI); Sorensen, J. (PI); Soule, S. (PI); Xu, J. (PI); Flores-Solano, J. (GP); Jimenez, F. (GP)"
GSB,OIT 277,Digital Platforms in the Age of AI,"This course examines the design and operations of digital platforms-one of the most transformative business models of our era-through the lens of the revolutionary impact of recent technological advances in AI and Machine Learning. Students will explore what drives platform success, from network effects and trust mechanisms to search optimization and monetization strategies, while gaining hands-on experience with the AI-powered analytics and data science tools that fuel these ecosystems. Through deep dives into industry leaders (e.g., Uber, Airbnb, and Amazon), students will analyze both high-level strategic decisions and operational mechanics that create competitive advantage. A central focus examines how machine learning, algorithmic decision-making, and AI are fundamentally reshaping user interactions, business operations, and competitive dynamics across platform markets. Combining theoretical frameworks with practical insights, the course aims to help students understand the analytical foundations underlying platform success. This comprehensive approach prepares future investors, entrepreneurs, product managers, and business leaders to navigate and capitalize on the changing landscape of digital commerce.",Spr,2,"; Bimpikis, K. (PI); McCool, T. (GP)"
GSB,OIT 334,Design for Extreme Affordability,"Design for Extreme Affordability (Extreme) is for students who have a passion for social impact, and want to experience designing products and services that address issues of global poverty, through tackling real world challenges in collaboration with low-resource communities. Extreme is a two-quarter graduate level sequence cross listed by the Graduate School of Business (OIT333/334) and the School of Engineering (ME206A/B). The program is hosted by the d.school and open to students from all Stanford schools. This multidisciplinary team, fast paced, project based experience creates an enabling environment in which students learn to design products and services that will change the lives of the world's poorest citizens. Students work directly with course partners, and the communities they serve, on real world problems, the culmination of which is actual implementation and real impact. Topics include design thinking, product and service design, rapid prototype engineering and testing, business modeling, social entrepreneurship, team dynamics, impact measurement, operations planning and ethics. Products and services designed in the class have impacted well over 150 million people worldwide. Limited enrollment by application. Must sign up for both OIT333/ME206A (Winter) and OIT334/ME206B (Spring).See extreme.stanford.edu for more details and application process which opens in October. Cardinal Course certified by the Haas Center for Public Service.",Spr,4,"; Coulson, S. (PI); Yeturu, M. (SI); Lion-Transler, C. (GP)"
GSB,OIT 385,Biodesign Innovation: Concept Development and Implementation,"In this two-quarter course series (OIT 384/5), multidisciplinary student teams from medicine, business, and engineering work together to identify real-world unmet health-related needs, invent new technologies to address them, and plan for their development and implementation into patient care. During the first quarter (winter), students select and characterize an important unmet healthcare problem, validate it through primary interviews and secondary research, and then brainstorm initial technology-based solutions. In the second quarter (spring), teams screen their ideas, select a lead solution, and move it toward the market through prototyping/technical re-risking, strategies to address healthcare-specific requirements (regulation, payment), and business planning. Final presentations are made to a panel of prominent health technology industry experts and/or investors. Class sessions include faculty-led instruction and case studies, coaching sessions by industry specialists, expert guest lecturers, and interactive team meetings. Enrollment is by application only and students are expected to participate in both quarters of the course. Visit http://biodesign.stanford.edu/programs/stanford-courses/biodesign-innovation.html to access the application, examples of past projects, and student testimonials. More information about Stanford Biodesign, which has led to the creation of dozens of venture-backed healthcare companies and has helped hundreds of students launch health technology careers, can be found at http://biodesign.stanford.edu/.",Spr,4,"; Denend, L. (PI); Edmonds, Z. (SI); Makower, J. (SI); Venook, R. (SI); Molina, E. (GP)"
GSB,OIT 644,"Research in Operations, Information and Technology","This year-long course takes a hands-on approach to learning about conducting research in Operations, Information and Technology. It will cover a broad spectrum of cutting-edge research in OIT from conceiving an idea to formulating a research problem, deriving results, and publication. The topical content will be customized to the specific interests of the enrolled students, but generally will be concerned with questions of operational interest.","Aut, Win, Spr",1,"; Hu, Y. (PI); Karaduman, O. (PI); Spiess, J. (PI); Hu, Y. (SI); Karaduman, O. (SI); Spiess, J. (SI); Dubon, M. (GP); Ngoba, N. (GP); Rice, R. (GP)"
GSB,OIT 652,OIT Modeling,"This course is designed primarily, but not exclusively, for Operations, Information and Technology students of all cohorts. Students with a strong analytical background from other areas or schools are welcome. The course will focus on modeling and analysis of problems in Operations, Information Technology, AI and related areas. The course will consider both mathematical and empirical modeling, using papers and some open problems. The objective is to facilitate students' transition from learning to research.",Spr,3,"; Mendelson, H. (PI); Fajardo Montes, M. (GP)"
GSB,OIT 664,Asymptotics in Operations Management,"This course provides an overview of asymptotic models and methods used in various areas of operations management. It includes traditional heavy traffic asymptotics for queueing networks, the Halfin-Whitt regime, the supermarket model, inventory theory, revenue management, applications of measure-valued processes in queues, and applications of mean field equilibrium models in matching markets and auctions for ad exchanges. The lectures will focus on modeling and performance analysis, and not on convergence proofs. Prerequisites: Statistics 217 and 218, or consent of instructor; some prior exposure to stochastic models in general, and queueing theory in particular, is useful but not essential.",Spr,3,"; Wein, L. (PI); McCool, T. (GP)"
GSB,OIT 677,Chart Reality with Stochastic Modeling,"Many decision-making systems benefit from the use of stochastic models. These models help an algorithm or AI agent make sense of the world and understand how the impacts of various actions propagate. However, choosing the right model and refining it with data remains a daunting challenge. Placing emphasis on dynamics arising from the physical reality and business problems, we will examine core frameworks for stochastic modeling while illustrating their application through examples ranging from personalization and dynamic pricing to reinforcement learning and world models.",Spr,3,"; Xu, K. (PI); Smeton, K. (GP)"
GSB,OIT 691,"PhD Directed Reading (ACCT 691, FINANCE 691, GSBGEN 691, HRMGT 691, MGTECON 691, MKTG 691, OB 691, POLECON 691, STRAMGT 691)","This course is offered for students requiring specialized training in an area not covered by existing courses. To register, a student must obtain permission from the faculty member who is willing to supervise the reading.","Aut, Win, Spr, Sum",1-15,"; Bayati, M. (PI); Bimpikis, K. (PI); Hu, Y. (PI); Iancu, D. (PI); Karaduman, O. (PI); Mendelson, H. (PI); Plambeck, E. (PI); Saban, D. (PI); Spiess, J. (PI); Wager, S. (PI); Wein, L. (PI); Weintraub, G. (PI); Xu, K. (PI); Zenios, S. (PI); Davis, S. (GP); McCool, T. (GP); Molina, E. (GP); Ngoba, N. (GP); Rice, R. (GP); Rivera, S. (GP)"
GSB,OIT 692,"PhD Dissertation Research (ACCT 692, FINANCE 692, GSBGEN 692, HRMGT 692, MGTECON 692, MKTG 692, OB 692, POLECON 692, STRAMGT 692)","This course is elected as soon as a student is ready to begin research for the dissertation, usually shortly after admission to candidacy. To register, a student must obtain permission from the faculty member who is willing to supervise the research.","Aut, Win, Spr, Sum",1-15,"; Bayati, M. (PI); Bimpikis, K. (PI); Hu, Y. (PI); Iancu, D. (PI); Karaduman, O. (PI); Mendelson, H. (PI); Plambeck, E. (PI); Saban, D. (PI); Spiess, J. (PI); Wager, S. (PI); Wein, L. (PI); Weintraub, G. (PI); Xu, K. (PI); Zenios, S. (PI); Davis, S. (GP)"
GSB,OIT 698,Doctoral Practicum in Teaching,Doctoral Practicum in Teaching,"Aut, Win, Spr, Sum",1,"; Bayati, M. (PI); Bimpikis, K. (PI); Hu, Y. (PI); Iancu, D. (PI); Karaduman, O. (PI); Mendelson, H. (PI); Plambeck, E. (PI); Saban, D. (PI); Spiess, J. (PI); Wager, S. (PI); Wein, L. (PI); Weintraub, G. (PI); Xu, K. (PI); Zenios, S. (PI)"
GSB,OIT 699,Doctoral Practicum in Research,Doctoral Practicum in Research,"Aut, Win, Spr, Sum",1,"; Bayati, M. (PI); Bimpikis, K. (PI); Hu, Y. (PI); Iancu, D. (PI); Karaduman, O. (PI); Mendelson, H. (PI); Plambeck, E. (PI); Saban, D. (PI); Spiess, J. (PI); Wager, S. (PI); Wein, L. (PI); Weintraub, G. (PI); Xu, K. (PI); Zenios, S. (PI); Dubon, M. (GP); McCool, T. (GP); Molina, E. (GP)"
GSB,POLECON 230,Strategy Beyond Markets: Condensed,"This version of POLECON 230 is especially focused on sustainability: Environmental problems are viewed as money left on the table; solving them is a business opportunity. In some cases, the problems arise because of weak regulation, while in other cases companies succeed only by interacting constructively with nonmarket players such as politicians, interest groups, activists, regulators, and bureaucrats. These players all work within the public institutions that determine the ""rules of the game"" for market activity. The goal of the course is to build a deeper understanding of, and appreciation for, what goes on beyond the market, and to develop tools and frameworks with which to analyze the situation and build integrated strategies. The course is case-based, drawing on case studies from a variety of countries and institutional environments.",Spr,2,"; Harstad, B. (PI); McCool, T. (GP)"
GSB,POLECON 383,Managing Politically Conflictual Environments,"We live increasingly in a world of political polarization and conflict. Disagreements, often violent, dramatically shape the challenges and opportunities that leaders face, whether it be while managing diverse organizations to addressing the future of the planet. So what can we do about it? In this course, participants will consider a series of decision-making challenges that leaders of organizations have faced in societies divided by political polarization and conflict. We will combine historical and contemporary examples drawn from countries around the world at critical moments of conflict or institutional change, along with insights distilled from the newest social science research on how to address these issues. This includes work conducted by us at the Stanford Conflict and Polarization Lab. By the end of the course, participants will develop a new set of tools for identifying when, where and how they can be effective leaders  in societies divided by political polarization and conflict.",Spr,3,"; Jha, S. (PI); Woodhall, E. (GP)"
GSB,POLECON 549,The Business World: Moral and Spiritual Inquiry through Literature,"This course uses short stories, novels and plays as a basis for examining the moral and spiritual aspects of business leadership and of the environment in which business is done. On the one hand literature is used as the basis for examining the character of business people, while on the other hand literature provides illumination of the cultural contexts of values and beliefs within which commercial activities take place in a global economy. The course is organized around the interplay of religious traditions and national identities. Classes are taught in a Socratic, discussion-based style, creating as much of a seminar atmosphere as possible. A two-text method is used, encouraging students to examine their own personal stories with as much care as the stories presented in the literature. This course will be graded on the basis of class participation, weekly reflection papers (1 page), and a final paper. There will be no exam. Course previously offered as POLECON 349.",Spr,2,"; McLennan, S. (PI); Lion-Transler, C. (GP)"
GSB,POLECON 652,Political Economy I,"This course provides an introduction to empirical and theoretical research in political economy, focusing on issues in democracies. Topics include institutional foundations, accountability and electoral incentives, candidate positioning, voter behavior, polarization, media and political communication, redistribution, special interests and lobbying, immigration, and populism.",Spr,4,"; Gentzkow, M. (PI); Hall, A. (PI); Yan, J. (GP)"
GSB,POLECON 661,Political Economy Research Workshop,Workshop for in-progress work by doctoral students in the PE program. Students present work and get feedback from other students and the faculty instructor.,"Aut, Win, Spr",1,"; Harstad, B. (PI); Jha, S. (PI); Martin, G. (PI); Long, M. (GP); McCool, T. (GP); Woodhall, E. (GP)"
GSB,POLECON 682,Workshop on Institutional Theories and Empirical Tests in Political Economy,"POLECON 682 is the third course in the graduate political economics core sequence, intended for PhD students in political economics, political science, and economics. The focus of the course is on taking concepts and predictions from abstract formal models of politics to concrete empirical settings. Initial sessions investigate the relationship between theory and empirical work, with specific focus on the role of theory amid the 'credibility revolution' of empirical economics and political science. Later sessions work through a toolkit for empirical research, with in-depth analysis of leading examples of each. The general focus will be on the measurement of latent variables that are important in formal theories of politics - such as ideological preferences, party pressure, and valence or competence - from observable data, and on the estimation of ""deep"" parameters that appear in formal models. Students should have taken at least POLECON 680 and preferably also POLECON 681. POLECON 682 is also listed as POLISCI 351C.",Spr,3,"; Martin, G. (PI); Long, M. (GP)"
GSB,POLECON 691,"PhD Directed Reading (ACCT 691, FINANCE 691, GSBGEN 691, HRMGT 691, MGTECON 691, MKTG 691, OB 691, OIT 691, STRAMGT 691)","This course is offered for students requiring specialized training in an area not covered by existing courses. To register, a student must obtain permission from the faculty member who is willing to supervise the reading.","Aut, Win, Spr, Sum",1-15,"; Callander, S. (PI); Casey, K. (PI); Hall, A. (PI); Harstad, B. (PI); Jha, S. (PI); Kessler, D. (PI); Kim, W. (PI); Malhotra, N. (PI); Martin, G. (PI); Rice, C. (PI); Shotts, K. (PI); Long, M. (GP); McCool, T. (GP); Yan, J. (GP)"
GSB,POLECON 692,"PhD Dissertation Research (ACCT 692, FINANCE 692, GSBGEN 692, HRMGT 692, MGTECON 692, MKTG 692, OB 692, OIT 692, STRAMGT 692)","This course is elected as soon as a student is ready to begin research for the dissertation, usually shortly after admission to candidacy. To register, a student must obtain permission from the faculty member who is willing to supervise the research.","Aut, Win, Spr, Sum",1-15,"; Callander, S. (PI); Casey, K. (PI); Hall, A. (PI); Harstad, B. (PI); Jha, S. (PI); Kessler, D. (PI); Kim, W. (PI); Malhotra, N. (PI); Martin, G. (PI); Rice, C. (PI); Shotts, K. (PI); Long, M. (GP)"
GSB,POLECON 698,Doctoral Practicum in Teaching,Doctoral Practicum in Teaching,"Aut, Win, Spr, Sum",1,"; Callander, S. (PI); Casey, K. (PI); Hall, A. (PI); Harstad, B. (PI); Jha, S. (PI); Kessler, D. (PI); Kim, W. (PI); Malhotra, N. (PI); Martin, G. (PI); Rice, C. (PI); Shotts, K. (PI)"
GSB,POLECON 699,Doctoral Practicum in Research,Doctoral Practicum in Research,"Aut, Win, Spr, Sum",1,"; Callander, S. (PI); Casey, K. (PI); Hall, A. (PI); Harstad, B. (PI); Jha, S. (PI); Kessler, D. (PI); Kim, W. (PI); Malhotra, N. (PI); Martin, G. (PI); Rice, C. (PI); Shotts, K. (PI); Long, M. (GP)"
GSB,STRAMGT 202,Strategic Leadership: Crafting and Leading Strategy,"This course is about the process of crafting, assessing and implementing strategies to win in the market. It is designed to help you understand, shape, and lead your organization's strategy by providing you with a framework for thinking about the issues that shape your organization's economic prosperity. In addition to an analytical framework, the course will provide you with insight into the process of formulating and assessing strategy for roles with cross-functional responsibility at all levels. The emphasis will be on how to articulate what the organization's strategy is, how to create alignment between the strategy, organizational design, and market environment, and the process of growing, managing and transforming organizations. The course is particularly well suited for students who have limited exposure to strategic analysis and/or who anticipate pursuing roles with primary responsibility for the success of products and services in both new and established organizations.",Spr,3,"; Sorensen, J. (PI); Davis, S. (GP)"
GSB,STRAMGT 221,Strategy and Disruption,"This course covers the fundamentals of business and corporate strategy in the context of disruptive technologies and business models.  Students will learn what drives changes in the number of players in a market and/or the identity of the leaders.  Value chain analysis illustrates how the returns to innovation are shared among players in the industry, thereby guiding how industry partners can jointly create value.  Students learn a common product management technique for value creation and how it can also be adapted to evaluate make or buy decisions, mergers, acquisitions and partnerships.  The course also discusses the challenges of managing a multi-business firm, the potential for divestiture and organizational approaches for innovating across multiple markets.  Finally, the practicalities of value creation and capture for disruptive technologies are introduced and linked to market outcomes. Cases and examples include technologies such as automation, batteries, carbon fiber, communications, digitization and platforms so as to yield insights for students to evaluate how generative AI or other emerging and future technologies might change different industries.",Spr,2,"; Hartmann, W. (PI); Lion-Transler, C. (GP)"
GSB,STRAMGT 280,Creating and Scaling Organizations for Environmental Sustainability,"This course is intended for Master's-level students who seek to engage with humanity's great sustainability challenges by creating and scaling a successful organization. The course material deals with both the transformation of existing organizations to succeed by being more sustainable, and with 'ecopreneurship' - the creation of a new organization aimed at successfully advancing environmental sustainability. The course is built on two very different bodies of research, one dealing with success and the other dealing with sustainability: Regarding success. The course draws on the extensive literature in strategic management and entrepreneurship. This work gives us specific, actionable lessons that you can use when creating and scaling your organization. These lessons increase the chances that your efforts will lead to an organization that spectacularly changes the world. Students interested in generating comfortable, incremental change should not take this course. Those interested in creative destruction - overturning the status quo with radical, innovative transformation - should take the course. Regarding sustainability. The course is informed by the experiences we are seeing among changemakers all over the world, as they tackle humanity's great sustainability problems. These include climate change and the energy transformation, of course, but more broadly also include a wide variety of other issues: biodiversity loss and regeneration, waste and the circular economy, food security and our need for water, human conflict and displacement, environmental justice, our oceans, preservation and conservation, and adaptation and resilience, among other topics. And the organizational forms we consider will also be varied. We will study companies that seek to make money in the capitalist economy by competing on the basis of environmental sustainability. But we will also be looking at non-governmental organizations, social movement organizations, public-sector organizations, and organizations involved in health and education as they also play a central role in the transformation of our economy and society to be more sustainable.",Spr,2,"; Barnett, W. (PI); Fajardo Montes, M. (GP)"
GSB,STRAMGT 329,The Grand Bazaar on Clouds: Strategy for Marketplaces,"From Amazon and Apple Store to Airbnb and Uber, our day-to-day life is surrounded by marketplaces. In this class, we will analyze the economics and strategy of marketplaces. We will consider the forces that have led to the proliferation of these marketplaces, as well as the strategic choices that determine which ones succeed. We will also study the strategy of managing these marketplaces: how should matching work, how marketplace design can solve problems of congestion or market thinness, how to discover prices through auctions, and how to get feedback and design a well-functioning rating system. We will also talk about trust and safety as a key pillar of successful marketplaces. We will also learn how to design non-monetary markets that solve big social problems, such as kidney exchange, food banks, public housing, and school choice. Finally, we will discuss the regulatory challenges of these marketplaces, especially with regard to labor income and platform's monopoly power. Applications include online stores; ride-sharing and transportation; advertising and sponsored search; room-sharing and vacation rentals; creator/passion economy; B2B marketplaces; dating; and labor markets. The class will be in lecture format and will feature several guest speakers, from founders, to investors, to Nobel laureates of market design.",Spr,3,"; Akbarpour, M. (PI); Abaya, S. (GP)"
GSB,STRAMGT 345,Impact: Taking Social Innovation to Scale,"How do you get the best new social innovations to reach the hundreds of millions of people who need it the most? And how do ensure that they are developed, deployed and scaled in a way that is relevant, appropriate and sustainable? Innovators tackling the world's most difficult problems often ignore, misunderstand, and under-invest in the critical business challenges involved in crossing 'the middle of the value chain.' This is innovation's valley of death: product and system adaption and evaluation; evidence generation and design validation; business and partnership planning; formal or informal regulatory approval and registration. How do you design, introduce, and optimize the intervention's uptake before it can be taken to scale by markets, governments or other systems? The class is taught be Steve Davis, Senior Advisor at the Gates Foundation, former CEO of PATH, IDRI, and Corbis, and former director of social innovation at McKinsey & Co. We take an interdisciplinary approach to look at the factors that pull innovation forward, push it from behind, and (often to the world's detriment) block its successful implementation and scaling. First grounding the discussion in research on innovation and social change, we then apply business principles, real world experiences and several important case studies in global health to examine the way good ideas get stuck, and how good ideas can turn into innovation that matters. We focus on root causes for failure, success factors, and business practices and tools to enable millions of lives to be impacted by social innovation. The seminar combines lectures, case studies, visiting practitioners and team projects focused on the business case for scaling specific social innovations. The goal is to help the next generation of social innovation leaders think more about some of the mistakes of the past, lessons for the future, and new ways of approaching old problems, all from a practitioner's point of view.",Spr,3,"; Davis, S. (PI); Davis, S. (GP)"
GSB,STRAMGT 351,Building & Managing Sales Organizations,"This class focuses on the challenges and critical issues associated with the creation and management of a B2B sales organization. The course focuses on three primary themes: 1) developing a foundational understanding of sales organizations and their parts 2) selecting and implementing the right Go-to-Market (GTM) strategy for a particular business, and 3) identifying and addressing common challenges that occur while scaling a GTM organization from inception to maturity. Note: cases and vignettes in this class are primarily drawn from the technology sector.",Spr,3,"; Leslie, J. (PI); Herzberg, D. (SI); Bagalso, R. (GP)"
GSB,STRAMGT 353,Entrepreneurship: Formation of New Ventures,"This course is offered for students who seek to understand the dynamics of  new ventures from the point of view of the entrepreneur/manager rather than the passive investor.  At some stage this understanding will enhance your decision making about whether to pursue a career in playing a key role in creating or building a new venture. It will also enhance your understanding if you will be negotiating with executives at new ventures. Many cases involve visitors, since the premise is that opportunity and action have large idiosyncratic components. Students must assess opportunity and action in light of the perceived capabilities of the individuals and the nature of the environments they face. The course is integrative and will allow students to apply many facets of their business school education.","Aut, Win, Spr",4,"; Ellis, J. (PI); Feinberg, Y. (PI); Foster, G. (PI); Brady, S. (SI); Feinberg, Y. (SI); Nakache, P. (SI); Singh, H. (SI); Bagalso, R. (GP); Fajardo Montes, M. (GP); Jimenez, F. (GP)"
GSB,STRAMGT 355,Managing Growing Enterprises,"This course is for students who want to lead organizations. We teach frameworks for hiring, firing, leading teams, innovation, selling, fundraising, having difficult conversations and making important decisions. The course is less focused on big picture strategy or analysis and more focused on implementation. This course is largely case based, with cases focused on the entrepreneurial journey of a diverse set of case guests. Students will be asked to role play many of their 'answers' live in class.","Aut, Win, Spr",3,"; Dodson, D. (PI); Dulski, J. (PI); Kelly, P. (PI); Weaver, G. (PI); Baxter, L. (GP); Smeton, K. (GP); Sonora, P. (GP); Yan, J. (GP)"
GSB,STRAMGT 356,Startup Garage: Design,"Startup Garage is an intensive, hands-on, project-based course where student teams apply design thinking, lean startup methodology, and the Business Model Canvas to conceive, design, and field-test a new venture idea. The focus is on customer discovery and problem-solution fit, aiming to answer the question: does the idea resonate with users? We kick off with an AI-powered hackathon to lay out the initial startup idea and assumptions. Then, with individualized coaching from instructors, teams will test assumptions and evolve their ideas as they get out of the building and interview users on a weekly basis, deeply understand customer needs, ideate solutions, develop prototypes, and validate (or invalidate) the value proposition and business model. Teams working on impact-focused ventures apply the same methodology to address the needs of their beneficiaries. PREREQUISITE: Team application required. Details and application: http://startupgarage.stanford.edu/details.","Aut, Spr",4,"; Beekman, J. (PI); Galen, D. (PI); Chen, E. (SI); Laws, M. (SI); Perkash, M. (SI); Scull, J. (SI); Wallace, C. (SI); Alvarez, G. (GP); Zenios, S. (GP)"
GSB,STRAMGT 368,Impact: Strategic Leadership of Social Ventures and Nonprofit Organizations,"Our primary objective in this course is to prepare and equip you to play a high-impact leadership role in the social sector, as a founder, executive, board member, and/or donor/philanthropist/impact investor. You will have the opportunity to learn from and engage with extraordinary guest speakers who are inspiring leaders and luminaries in the social sector. Cases involve a range of social ventures and nonprofits, from early stage start-ups to larger, more traditional organizations. Guest speakers and case studies span a wide range of fields in the US and internationally, including climate change, poverty, racial justice, education, health care, and performing arts. This course seeks to provide a survey of the strategic, governance, and management issues facing a wide range of social sector organizations and their executive and board leaders, in the era of impact investing, venture philanthropy, and social entrepreneurship. Students will also be introduced to core managerial issues uniquely defined by this sector such as fundraising, investment management, and performance management. The course reinforces the frameworks and concepts of strategic management introduced in the core first year courses. In addition to case discussions, the course employs role plays and study group exercises.",Spr,3,"; Starkey, K. (PI); Dubon, M. (GP)"
GSB,STRAMGT 386,Competitive Strategy for Technology Markets,"This class will apply economic frameworks to analyze the competitive strategy of technology businesses. The format will consist of discussion-based lectures, guest speakers, and student presentations. Approximately one third of the class will be devoted to markets related to artificial intelligence, including hardware and computing, foundation models, and applications. Other technology markets include computing technology platforms (e.g. mobile), financial technology, and online advertising. The course will begin with economic concepts relevant to business models and to competition when there are barriers to entry, either in a firm's own market or in important adjacent markets. The course will then consider the role of business strategies in determining the dynamics of competition and long-run industry structure, including strategies for entry, distribution deals, long-term contracts, choices about interoperability, and mergers and acquisitions.",Spr,3,"; Athey, S. (PI); Flores, K. (GP)"
GSB,STRAMGT 507,From Invention to Innovation: The Process of Translation,"The class intends to address specific challenges: 1) The challenges facing businesses are strongly rate-limited by the translation problems of new ideas, and inventions often do not make it into the market place or are disrupted at multiple levels in ways that are generally unpredictable; 2) The challenge of understanding how disruptive innovations take place in the context of the larger frame of translation. The concept of translation can be cast as the following equation, which will be discussed in the class: Innovation = (Inventiona+ C) × Translationb (Where a, b, and C are greater than zero) In light of these challenges, this class will address the following strategic questions and use it to propose a framework for innovation that will increase the probability of successful translation. The class will attempt to address the following questions and extract the principles for enabling translation. 1. What is Translation and why is it necessary? (Examples of Translation from the instructors and visiting lecturers) 2. What does it take for Translation that connects concepts to reality to succeed? 3. What factors prevent Translation from succeeding? 4. What general theoretical framework can we construct to encompass the various types of disruptive innovation?",Spr,2,"; Burgelman, R. (PI); Shankar, S. (SI); Dubon, M. (GP)"
GSB,STRAMGT 510,Conversations in Management,"This case-based course is offered for students who want to refine their ability to manage challenging professional conversations.  The class will focus on the preparation for and execution of role-played dialogue as well as on postmortem analysis.  Most of the respondent roles will be external to one's company, and some will be front line or mid-level people with limited educational credentials.  Broad utilization will be made of background readings and an occasional visiting expert.","Aut, Win, Spr",2,"; Detter, T. (PI); Dodson, D. (PI); Ellis, J. (PI); Rosenthal, S. (PI); Rosenthal, S. (SI); Steele, D. (SI); Taweel, K. (SI); Alvarez, G. (GP); Jimenez, F. (GP); Sonora, P. (GP)"
GSB,STRAMGT 514,Product/Market Fit,"The premise of this course is the success of a startup (and even a large company launching a new product) is most dependent on finding a market that is desperate for its product. Focusing on product/market fit conflicts with the conventional view that a startup's limited resources should be applied to perfecting the execution of day to day activities. Interestingly almost every successful product driven technology company followed a similar path to find its product/market fit, but it was usually by accident. In this course we attempt to define the consistent process each successful company pursued, which in most cases is highly counterintuitive, and how to apply it to different situations. Our class highlights the potential conflict between pursuing a conventional approach and optimizing product/market fit.  In order to really bring out this conflict, we employ a seminar format with only 25 students so every issue can be evaluated in detail. Our lessons are limited to information technology-based companies, but we have been told they may be more broadly applicable.  That being said, this course has been designed for someone who is truly interested in technology-based entrepreneurship.  Students who choose to take this course must be committed to read all the assigned articles and books to have the proper foundation to address the frequent counterintuitive learnings. In some cases that might require an entire (although relatively short) book be read for an individual class. A written assignment addressing at least one of the learnings from each reading will be required to be submitted at least four hours prior to each class. Failure to submit even one of the written assignments will result in a U. In addition to the daily written assignments, there will be a large individual project required at the end of the course. In other words, this course requires far more commitment than a typical GSB course, especially for one that offers only two credits.  However I promise this course will be invaluable should you choose an operating or investment career in the technology business.","Win, Spr",2,"; Rachleff, A. (PI); Vrionis, J. (PI); Fajardo Montes, M. (GP)"
GSB,STRAMGT 524,Longevity:  Business Implications and Opportunities,"People age 50 and over account for 53% of consumer spending in the US and 71% of household wealth, with both number expected to increase significantly due to a combination of increased longevity and the aging of the baby boomer generation.  It is the largest and one of the fastest growing business opportunities US and worldwide.  Many business managers and entrepreneurs, however, do not consider the over 50 demographic in their plans, and those that do often do not understand how best to design products and services for this group.  It is a huge missed opportunity.  This class will explore how managers and entrepreneurs should consider the older population in their strategies, in product and service design, in managing their work force, and in their own careers.  Class topics will include: - The over age 50 opportunity and how it will grow over the coming years - The map of life and segmenting the older population - Considerations for developing products and services that are multi-generational and appealing to older consumers - New business opportunities created by the growth in the over 50 population, social trends, and technology - The science of longevity - Career considerations in a world where individuals live longer and healthier lives. The course would be two units offered Spring quarter, and would be taught using a mix of new cases developed for the class, guest speakers from established companies and entrepreneurs, and lectures.",Spr,2,"; Chess, R. (PI); Carstensen, L. (SI); Davis, S. (GP)"
GSB,STRAMGT 543,Entrepreneurial Acquisition,"For aspiring entrepreneurs who don't have a burning idea or desire to start a company from scratch, acquiring a small business can provide a direct route to running and growing a business. This class will explore entrepreneurial acquisition (EA).  As the course covers topics such as what makes a good industry, raising capital, how to source deals, dealing with investors, due diligence, and negotiation, the course is also applicable to those interested in private equity, venture capital, start-ups, and general management.  The class relies heavily on the case method, and each class includes guests (often the case protagonists) who bring practical and current experience to the classroom.  The two group projects are intended to be highly practical, simulating real-world situations.","Aut, Win, Spr",2,"; Ellis, J. (PI); Risk, G. (PI); Andrews, C. (SI); Ellis, J. (SI); Rosenthal, S. (SI); Alvarez, G. (GP); Jimenez, F. (GP)"
GSB,STRAMGT 546,Research Driven Inspiration (RDI): Foundations,"RDI Foundations is a hands-on, applied course that teaches RDI as a method for developing a prepared mind-building deep industry understanding, uncovering non-obvious problems, and identifying meaningful opportunities. A core emphasis of the course is learning to rigorously leverage AI tools within the RDI process to enhance and accelerate learning. This course is ideal for students interested in entrepreneurship or career advancement and serves as the required foundation for the follow-on RDI course focused on conducting original research.nThe course prioritizes learning how to do RDI well and how to apply it to an area of exploration, using highly interactive class time that includes short lectures, live demonstrations, guided exercises, and laptop-open working sessions focused on AI-enabled research, interviewing, synthesis, and sensemaking. Students will learn to: Leverage AI tools effectively across multiple phases of the RDI process to enhance research quality and accelerate progress, Quickly build foundational fluency through secondary research, Conduct high-quality, curiosity-driven research conversations, Synthesize qualitative inputs into patterns, hypotheses, and points of view. By the end of the course, students will have completed foundational RDI work in their chosen domain (primer, stakeholder map, interview targets, outreach materials) and will enter the follow-on course with momentum. Completion of this course is required for enrollment in the follow-on RDI research course.",Spr,2,"; Brady, S. (PI); Jordan, B. (SI); Bagalso, R. (GP)"
